48,49,3,10,38,42,29
32,18,42,10,28,13,14
32,48,49,18,42,17,10
49,17,3,18,42,11,29
32,49,18,48,42,13,47
48,32,18,3,42,38,10
48,18,3,42,10,29,14
32,17,18,10,38,42,29
32,17,18,49,3,42,11
32,49,18,10,41,42,29
48,49,18,17,10,42,29
32,18,3,45,29,42,13
32,17,18,49,42,10,14
32,17,18,49,38,42,28
48,32,18,38,42,28,13
48,1,49,18,32,42,29
32,18,3,13,41,42,29
32,49,18,29,42,28,45
32,17,18,3,38,42,13
32,48,10,3,38,42,29
32,17,18,48,42,10,28
32,17,18,3,45,42,29
32,49,18,42,10,28,14
32,17,18,3,42,13,14
32,29,18,42,28,13,14
32,17,18,3,42,38,10
32,1,49,3,18,42,29
49,18,3,29,41,42,13
32,18,3,42,38,10,14
32,17,18,3,38,42,28
32,49,18,3,42,28,47
32,17,18,10,42,28,13
32,17,18,3,42,10,14
32,49,18,45,29,42,13
32,49,18,42,28,13,14
32,49,48,41,42,28,29
32,49,18,17,42,29,14
32,48,18,49,41,42,29
32,17,18,3,49,42,14
32,48,17,18,10,42,29
32,48,18,3,42,29,14
32,1,18,3,29,42,13
32,18,3,42,28,29,47
49,18,3,10,41,42,29
32,49,18,38,41,42,29
32,48,17,3,18,10,42
32,17,18,3,42,11,29
32,48,18,42,28,29,47
32,17,18,38,42,28,29
32,48,29,18,42,13,47
32,49,3,42,28,29,47
32,49,18,29,42,11,13
17,18,29,49,38,42,13
32,18,3,42,10,29,47
48,49,18,17,13,42,29
18,3,10,38,42,28,13
32,38,10,42,48,18,28,29
32,3,42,10,13,17,18,29
32,3,42,10,13,48,49,18
32,3,42,13,49,18,17,29
32,42,10,13,47,49,18,29
32,3,42,10,17,18,28,29
32,42,13,17,18,49,28,29
38,42,10,13,49,18,28,29
32,3,38,42,10,18,28,29
32,3,42,48,17,18,49,28
32,3,38,42,49,18,28,29
32,3,38,10,42,13,49,18
32,3,42,13,17,18,49,28
32,42,10,17,18,49,28,29
32,38,42,10,13,49,18,28
3,38,10,42,13,49,18,29
32,3,38,42,48,49,18,29
32,42,10,13,14,49,18,29
32,38,42,10,49,18,28,29
38,42,10,13,48,49,18,29
32,3,42,13,17,18,28,29
3,38,10,42,49,18,28,29
32,38,10,42,13,18,28,29
32,3,42,13,47,49,18,29
32,10,42,13,49,18,17,29
32,38,42,13,49,18,28,29
32,38,42,48,49,18,28,29
32,3,38,42,13,49,18,29
32,38,42,10,13,49,18,29
32,3,38,42,17,18,49,29
32,3,42,48,17,18,28,29
32,38,10,42,48,49,18,28
32,3,10,42,14,49,18,29
32,38,42,13,48,49,18,29
3,42,13,17,18,49,28,29
3,10,42,13,49,18,17,29
38,42,10,48,49,18,28,29
32,42,48,49,18,17,28,29
32,3,41,42,49,18,28,29
32,3,42,10,13,14,49,18
32,3,42,13,14,49,18,29
32,3,42,10,17,49,18,29
32,3,42,17,49,18,28,29
32,3,38,10,42,49,18,29
32,3,42,10,13,48,18,29
32,3,38,42,10,13,18,29
32,3,42,48,17,18,49,29
3,10,42,13,48,49,18,29
32,38,10,42,48,49,18,29
32,3,42,10,13,14,18,29
32,3,42,10,48,49,18,28,29
32,3,42,13,48,49,18,28,29
32,42,10,13,48,49,18,28,29
32,3,42,10,13,49,18,28,29
